obstime,tempr,ap,ws,wd,rh
2012-01-28 12:00:00,-0.33,982,4.51,155.95,34.24
2012-01-28 13:00:00,-0.44,982.02,4.19,149.7,38.07
2012-01-28 14:00:00,0.02,981.18,4.06,149.46,40.88
2012-01-28 15:00:00,-0.15,980.6,2.95,118.61,43.44
2012-01-28 16:00:00,0.06,979.63,3.14,134.17,44.14
2012-01-28 17:00:00,-0.01,978.77,5.26,162.08,44.95
2012-01-28 18:00:00,-0.45,977.67,5.99,161.67,45.08
2012-01-28 19:00:00,-1.47,976.78,6.91,173.04,46.45
2012-01-28 20:00:00,-2.64,976,7.73,176.25,48.3
2012-01-28 21:00:00,-3.2,975.4,8.13,177.1,46.03
2012-01-28 22:00:00,-3.51,974.62,8.74,174.12,42.65
2012-01-28 23:00:00,-3.61,974,9.09,172.05,40.92
2012-01-29 00:00:00,-3.85,973.07,8.58,174.54,42.39
2012-01-29 01:00:00,-4.44,972.28,10.07,175.72,44.62
2012-01-29 02:00:00,-5.11,971.15,10.5,176.11,46.86
2012-01-29 03:00:00,-5.21,970.12,10.67,176.78,46.36
2012-01-29 04:00:00,-5.06,969.47,10.84,175.4,46.38
2012-01-29 05:00:00,-4.98,968.53,12.45,174.45,47.41
2012-01-29 06:00:00,-4.43,967.93,12.73,174.06,50.49
2012-01-29 07:00:00,-3.88,967,12.34,174.15,54.35
2012-01-29 08:00:00,-3.3,966.03,13.3,173.74,59.42
2012-01-29 09:00:00,-2.96,965,14.36,173.37,60.29
2012-01-29 10:00:00,-2.3,964.17,14.65,172.17,58.76
2012-01-29 11:00:00,-1.79,964,14.04,171.66,62.4
2012-01-29 12:00:00,-1.13,963.8,12.39,173.87,61.14
2012-01-29 13:00:00,0.52,963,11.53,170.17,47.68
2012-01-29 14:00:00,1.12,962.47,12.29,168.99,43.8
2012-01-29 15:00:00,1.12,962.23,12.74,169.97,43.46
2012-01-29 16:00:00,0.99,962.52,13.33,166.65,45.29
2012-01-29 17:00:00,0.63,962.87,12.43,168.6,49.65
2012-01-29 18:00:00,0.65,963,10.36,164.09,49.3
2012-01-29 19:00:00,0.23,963.42,8.41,155.93,50.33
2012-01-29 20:00:00,-0.21,964,8.78,155.27,54.02
2012-01-29 21:00:00,-0.58,964.52,8.24,151.6,55.87
2012-01-29 22:00:00,-0.68,965,7.3,151.84,54.91
2012-01-29 23:00:00,-0.82,965.17,7,158.68,55.59
2012-01-30 00:00:00,-0.94,966,7.09,162.16,56.27
2012-01-30 01:00:00,-1.11,966.95,6.98,161.47,56.36
2012-01-30 02:00:00,-1.26,967.78,7.09,152.99,55.9
2012-01-30 03:00:00,-1.24,968.62,7.3,153.65,54.92
2012-01-30 04:00:00,-1.44,969.1,9.34,160.11,57.38
2012-01-30 05:00:00,-1.41,970.18,8.38,158.53,60.34
2012-01-30 06:00:00,-1.15,971.25,7.01,155.36,58.59
2012-01-30 07:00:00,-0.99,972.1,6.54,155.7,58.36
2012-01-30 08:00:00,-0.76,973.07,6.08,157.17,57.77
2012-01-30 09:00:00,-0.79,974,7.67,157.74,58.59
2012-01-30 10:00:00,-0.67,975,6.91,161.13,62.65
2012-01-30 11:00:00,-0.28,975.78,5.46,158.78,59.63
2012-01-30 12:00:00,-0.15,976.45,4.24,158.07,59.45
2012-01-30 13:00:00,0.19,977.1,3.97,164.55,57.87
2012-01-30 14:00:00,0.46,978,3.42,173.07,59.3
2012-01-30 15:00:00,0.82,978.5,2.94,175.18,59.31
2012-01-30 16:00:00,1.21,979.02,2.53,152.8,52.82
2012-01-30 17:00:00,1.17,979.88,1.62,138.39,53.73
2012-01-30 18:00:00,0.87,980.38,1.63,168.62,58.53
2012-01-30 19:00:00,0.69,981,1.59,177.54,58.45
2012-01-30 20:00:00,0.41,981.13,1.16,185.34,60.17
2012-01-30 21:00:00,0.18,981.75,1.55,171.88,62.63
2012-01-30 22:00:00,-0.08,982,1.81,162.19,64.93
2012-01-30 23:00:00,-0.28,982.4,1.63,174.46,66.76
2012-01-31 00:00:00,-0.34,983,2.4,184.48,63.81
2012-01-31 01:00:00,-0.59,983.3,4.42,178.48,56.28
2012-01-31 02:00:00,-0.83,984,6.09,174.49,51.33
2012-01-31 03:00:00,-1.07,984,5.9,172.09,49.4
2012-01-31 04:00:00,-1.31,984.68,5.3,173.79,48.79
2012-01-31 05:00:00,-1.89,985,4.83,179.65,53.37
2012-01-31 06:00:00,-2.35,985,5.01,179.79,54.52
2012-01-31 07:00:00,-2.35,985.58,4.73,178.28,53.12
2012-01-31 08:00:00,-2.01,986,4.59,178.16,51.09
2012-01-31 09:00:00,-1.68,986,4.66,177.76,48.39
2012-01-31 10:00:00,-0.86,986,3.85,170.5,42.34
2012-01-31 11:00:00,-0.42,985.9,2.64,137.21,37.8
2012-01-31 12:00:00,-0.02,985.95,1.62,67.86,39.94
2012-01-31 13:00:00,0.38,985.7,1.88,218.57,36.94
2012-01-31 14:00:00,0.56,985,2.23,322.23,43.04
2012-01-31 15:00:00,0.52,985,3.14,322.76,42.43
2012-01-31 16:00:00,0.61,984.35,3.08,323.34,47.9
2012-01-31 17:00:00,0.63,984,3.39,328.08,53.26
2012-01-31 18:00:00,0.13,983.72,2.94,327.81,53.72
2012-01-31 19:00:00,-0.26,983,2.39,314.61,57.84
2012-01-31 20:00:00,-1.18,982.12,2.07,307.8,65.91
2012-01-31 21:00:00,-1.9,982,1.9,188.82,61.25
2012-01-31 22:00:00,-2.79,981.45,2.87,179.19,55.7
2012-01-31 23:00:00,-3.8,980.7,4.32,182.98,51.77
2012-02-01 00:00:00,-4.75,979.62,6.12,181.88,48.95
2012-02-01 01:00:00,-5.24,978.78,6.85,180.24,45.93
2012-02-01 02:00:00,-5.52,978,6.52,181.41,45.53
2012-02-01 03:00:00,-5.7,976.9,7.27,179.41,45.59
2012-02-01 04:00:00,-6.39,975.52,8.41,179.11,47.05
2012-02-01 05:00:00,-5.38,974.98,7.21,177.79,39.71
2012-02-01 06:00:00,-4.97,974.05,7.83,176.71,38.94
2012-02-01 07:00:00,-4.68,973.25,8.23,177.45,42.4
2012-02-01 08:00:00,-3.47,972.48,6.6,168.67,35.71
2012-02-01 09:00:00,-2.85,971.93,5.87,166.92,36.67
2012-02-01 10:00:00,-2.36,971,3.88,160.2,32.71
2012-02-01 11:00:00,-2,970.82,1.88,91.7,31.66
2012-02-01 12:00:00,-1.25,970,2.39,170.77,32.52
2012-02-01 13:00:00,-1.22,970,4.13,323.17,34.56
2012-02-01 14:00:00,-1.4,970,5.01,319.37,37.66
2012-02-01 15:00:00,-1.39,970.07,5.17,323.25,44.49
2012-02-01 16:00:00,-1.48,971,4.7,320.05,45.27
2012-02-01 17:00:00,-1.62,971,3.82,322.73,47.98
2012-02-01 18:00:00,-1.9,971.7,3.12,322.32,50.38
2012-02-01 19:00:00,-2.24,972,1.99,317.34,51.45
2012-02-01 20:00:00,-2.48,972.47,0.98,250.38,52.1
2012-02-01 21:00:00,-3.62,973,1.61,162.75,57.99
2012-02-01 22:00:00,-4.19,973.42,2.58,181.73,55.22
2012-02-01 23:00:00,-4.68,974,3.51,178.6,54.67
2012-02-02 00:00:00,-5.3,974.4,4.64,181.46,57.26
2012-02-02 01:00:00,-5.07,975,4.52,178.75,63.72
2012-02-02 02:00:00,-4.12,975.25,5.23,158.66,63.63
2012-02-02 03:00:00,-3.91,976,5.25,158.34,65.63
2012-02-02 04:00:00,-3.78,976.28,5.82,155.18,62.76
2012-02-02 05:00:00,-3.8,977,6.15,157.13,63.05
2012-02-02 06:00:00,-3.74,977,6.5,157.33,63.82
2012-02-02 07:00:00,-3.88,977.65,7.5,159.45,59.62
2012-02-02 08:00:00,-3.68,978,8.35,162.81,58.99
2012-02-02 09:00:00,-3.29,978.18,8.42,162.72,59.26
2012-02-02 10:00:00,-2.96,979,7.58,160.89,65.75
2012-02-02 11:00:00,-2.1,979.52,5.78,132.84,63.53
2012-02-02 12:00:00,-1.52,980,5.73,134.53,59.94
2012-02-02 13:00:00,-1,980.6,5.57,141.18,59.29
2012-02-02 14:00:00,-0.67,981,5.73,138.8,62.25
2012-02-02 15:00:00,-0.52,981.38,6.18,140.48,63.87
2012-02-02 16:00:00,-0.49,981.83,6.08,139.87,63.36
2012-02-02 17:00:00,-0.7,982,5.93,146.23,65.73
2012-02-02 18:00:00,-1.03,982,5.79,147.09,68.7
2012-02-02 19:00:00,-1.25,982,5.37,146.87,72.6
2012-02-02 20:00:00,-1.67,982,5.38,155.35,75.98
2012-02-02 21:00:00,-1.98,982,5.45,155.17,78.03
2012-02-02 22:00:00,-1.97,981.03,5.86,154.79,77.93
2012-02-02 23:00:00,-3.02,979.63,8.89,169.26,56.57
2012-02-03 00:00:00,-3.52,978.63,8.25,167.87,50.81
2012-02-03 01:00:00,-3.44,978,8.68,165.19,45.97
2012-02-03 02:00:00,-3.12,976.67,9.5,161.54,47.26
2012-02-03 03:00:00,-3.18,975.5,7.94,170.88,46.61
2012-02-03 04:00:00,-2.58,974.63,8.8,161.49,43.09
2012-02-03 05:00:00,-2.78,974,8.88,154.32,55.93
2012-02-03 06:00:00,-4.4,972.95,10.16,163.44,86.27
2012-02-03 07:00:00,-3.73,971.48,13.08,163.97,90.38
2012-02-03 08:00:00,-3.31,970.05,14.31,166.95,90.3
2012-02-03 09:00:00,-3.31,968.98,15.13,164.03,91.77
2012-02-03 10:00:00,-3.05,968,16.53,163.09,88.05
2012-02-03 11:00:00,-3.04,967.43,16.93,160.68,91.94
2012-02-03 12:00:00,-2.79,967,15.9,160.95,93.36
2012-02-03 13:00:00,-2.56,967,14.01,158.59,93.48
2012-02-03 14:00:00,-2.18,967,11.96,152.69,93.19
2012-02-03 15:00:00,-2.12,967,13.04,154.8,92.7
2012-02-03 16:00:00,-2.19,967,12.55,150.69,92.61
2012-02-03 17:00:00,-1.8,967.65,12.91,151.58,86.26
2012-02-03 18:00:00,-2.2,968,13.64,156.12,93.38
2012-02-03 19:00:00,-2.26,968,13.05,157.07,94.9
2012-02-03 20:00:00,-2.19,968,13.04,156.02,95.07
2012-02-03 21:00:00,-2.29,968.67,13.7,156.6,94.63
2012-02-03 22:00:00,-2.33,969,14.09,156.19,93.76
2012-02-03 23:00:00,-2.36,969.15,14.18,156.91,93.62
2012-02-04 00:00:00,-2.4,970,13.77,157.49,92.64
2012-02-04 01:00:00,-2.56,970.32,13.66,157.59,93.94
2012-02-04 02:00:00,-2.6,971,13.95,158.41,94.27
2012-02-04 03:00:00,-2.43,971.4,13.27,159.02,92.61
2012-02-04 04:00:00,-2.25,972,13.66,156.97,92.43
2012-02-04 05:00:00,-2.24,972.63,13.69,158.39,90.79
2012-02-04 06:00:00,-2.03,973.48,12.72,155.78,92.52
2012-02-04 07:00:00,-1.87,974.35,12.79,157.26,92.97
2012-02-04 08:00:00,-1.76,975.35,12.42,154.63,93.88
2012-02-04 09:00:00,-1.7,976.43,12.68,154.67,92.89
2012-02-04 10:00:00,-1.53,977.62,11.67,157.42,92.77
2012-02-04 11:00:00,-1.43,978.67,10.48,152.8,93.72
2012-02-04 12:00:00,-1.16,979.58,9.61,151.97,92.42
2012-02-04 13:00:00,-0.53,980,10.41,158.03,83.2
2012-02-04 14:00:00,0.51,980.68,9.67,155.47,69.95
2012-02-04 15:00:00,0.68,981,9.29,155.66,68.37
2012-02-04 16:00:00,-0.44,981.5,8.89,156.74,84.94
2012-02-04 17:00:00,0.15,982,7.48,156.3,74.5
2012-02-04 18:00:00,0.52,982,7.98,159.19,64.99
2012-02-04 19:00:00,0.31,982,8.27,157.89,63.32
2012-02-04 20:00:00,-0.03,982,8.77,160.52,62.33
2012-02-04 21:00:00,-0.15,982,10.42,160.91,60.37
2012-02-04 22:00:00,-0.06,982,11.35,163.15,55.95
2012-02-04 23:00:00,-0.47,982.18,10.46,164.04,59.86
2012-02-05 00:00:00,-1.02,982.6,11.17,166.97,65.9
